Title;Artist;Genre;Keywords;Scores
Blacksnake Blues;All Them Witches;Blues;writer's, mean, suckin, snake, crawled, tongue, worry, black, conqueror's, toad, frog, hip, mix, john, window, he's, doorstep, catch, guarantee, woah, bed, rid, sucking, good, oh, old, hey, done, dollar, bottom, dirt, grave, long, there's, day, kill, bet, night, dead, comin, sure, gon, well, gonna, put, i'll, back, go, know;0.194, 0.152, 0.131, 0.128, 0.112, 0.108, 0.075, 0.071, 0.065, 0.065, 0.058, 0.046, 0.046, 0.044, 0.037, 0.03, 0.029, 0.029, 0.029, 0.028, 0.027, 0.026, 0.026, 0.024, 0.023, 0.022, 0.022, 0.021, 0.021, 0.02, 0.018, 0.018, 0.018, 0.017, 0.016, 0.016, 0.015, 0.014, 0.014, 0.014, 0.013, 0.011, 0.01, 0.009, 0.008, 0.006, 0.005, 0.004, 0.003
The Medicine Man [Feat. Old Crow Medicine Show];Keb' Mo', Old Crow Medicine Show;Blues;medicine, waitin, everybody's, man, doin, we're, best, turn, crap, sanitize, pigs, might, bees, president, dose, dropping, everybody, neighbors, holds, flies, nose, teach, doors, lock, cover, blues, needs, news, well, looks, future, little, earth, singin, gonna, gold, mother, better, give, fly, runnin, hurt, feet, help, comin, people, whole, die, maybe, damn, friends, til, lost, world, face, really, end, day, tell, need, wanna, like, love, can't, go, got, know, i'm;0.159, 0.074, 0.063, 0.058, 0.049, 0.042, 0.04, 0.036, 0.036, 0.036, 0.034, 0.034, 0.034, 0.031, 0.03, 0.03, 0.029, 0.029, 0.028, 0.028, 0.026, 0.024, 0.024, 0.024, 0.024, 0.023, 0.022, 0.022, 0.022, 0.022, 0.021, 0.021, 0.021, 0.021, 0.02, 0.019, 0.019, 0.019, 0.018, 0.017, 0.016, 0.016, 0.016, 0.015, 0.015, 0.014, 0.014, 0.013, 0.013, 0.013, 0.013, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011, 0.009, 0.007, 0.007, 0.007, 0.006, 0.005, 0.005, 0.005, 0.004, 0.003, 0.002
Come on and Go with Me;The Black Keys;Blues;come, lowdown, lonesome, cryin, lovin, good, babe, need, baby, outro, instrumental, go, bad, we're, shame, ain't, yes, together, nobody, call, love, heart, i'll, oh, got;0.17, 0.118, 0.085, 0.076, 0.064, 0.059, 0.052, 0.047, 0.046, 0.043, 0.043, 0.04, 0.036, 0.034, 0.033, 0.03, 0.028, 0.026, 0.024, 0.017, 0.016, 0.014, 0.011, 0.008, 0.007
I Like It When It's Stormy;Hank Williams Jr.;Blues;stormy, storms, icy, hail, thunder, cold, cabin, weather's, rain, blowing, warning, strikes, reminds, likes, fever, anytime, wishing, moved, hear, lightning, alone, like, flame, turning, fair, rolling, weather, window, twice, storm, shine, looking, somebody, since, coming, without, feel, lose, round, came, pain, friends, gone, sun, thing, old, new, hard, world, much, find, gonna, things, cause, day, mind, around, life, put, heart, that's, make, come, way, oh, back, i'm;0.146, 0.073, 0.063, 0.059, 0.048, 0.046, 0.039, 0.036, 0.033, 0.032, 0.031, 0.031, 0.031, 0.029, 0.029, 0.029, 0.027, 0.027, 0.026, 0.026, 0.025, 0.025, 0.024, 0.024, 0.024, 0.023, 0.023, 0.022, 0.022, 0.022, 0.021, 0.018, 0.017, 0.017, 0.016, 0.016, 0.015, 0.015, 0.015, 0.015, 0.014, 0.014, 0.014, 0.014, 0.013, 0.013, 0.012, 0.012, 0.012, 0.012, 0.011, 0.011, 0.011, 0.011, 0.01, 0.01, 0.01, 0.009, 0.009, 0.009, 0.008, 0.007, 0.007, 0.007, 0.006, 0.006, 0.002
In The Night Time;The Cold Stares;Blues;rhythm, night, there's, time, shuffling, snapping, pulse, feet, tapping, earn, traffic, strikes, drum, sun, heartbeat, god, hear, clock, midnight, fingers, made, heat, grab, shoes, music, walking, moon, street, pay, sound, beat, comes, different, dead, city, goes, work, lights, big, people, turn, world, see, man, girl, day, good, put;0.25, 0.09, 0.088, 0.045, 0.041, 0.039, 0.039, 0.036, 0.036, 0.036, 0.033, 0.033, 0.032, 0.03, 0.029, 0.028, 0.027, 0.027, 0.026, 0.025, 0.025, 0.025, 0.025, 0.024, 0.023, 0.022, 0.021, 0.021, 0.02, 0.02, 0.019, 0.019, 0.018, 0.018, 0.018, 0.018, 0.017, 0.017, 0.016, 0.016, 0.014, 0.013, 0.013, 0.011, 0.011, 0.01, 0.01, 0.01
Groaning the Blues - Live at the Fillmore, San Francisco, 1994;Eric Clapton;Blues;perish, starvation, groan, moaning, lord, desert, blues, heavy, bones, rather, murderer, shake, tired, weep, gets, weeping, moan, trying, forced, sun, die, crying, holding, would, away, heart, arms, think, hurt, man, every, keep, i'm, oh, can't, time;0.123, 0.123, 0.123, 0.123, 0.089, 0.088, 0.078, 0.072, 0.071, 0.067, 0.062, 0.062, 0.062, 0.058, 0.058, 0.058, 0.055, 0.055, 0.053, 0.045, 0.044, 0.036, 0.035, 0.033, 0.032, 0.03, 0.03, 0.028, 0.027, 0.017, 0.015, 0.014, 0.01, 0.009, 0.009, 0.008
Someday;Alabama Shakes;Blues;oo-wah-oo, real, life, can't, relatively, oo, happenin, make-believe, reply, wastin, used, angels, sink, fantasy, someday, right, everything, blind, today, dream, friend, come, yeah, place, nothing, believe, i'd, well, really, oh, shit, look, time, got, like;0.252, 0.124, 0.088, 0.064, 0.063, 0.063, 0.054, 0.052, 0.048, 0.048, 0.047, 0.047, 0.045, 0.043, 0.041, 0.039, 0.037, 0.036, 0.031, 0.029, 0.029, 0.024, 0.023, 0.023, 0.022, 0.022, 0.021, 0.019, 0.019, 0.018, 0.017, 0.017, 0.009, 0.007, 0.005
Notches;Joe Bonamassa;Blues;notches, cane, wheels, miles, walking, winking, smiling, pouring, poke, tilt, lump, saskatoon, austin, clue, bear, bound, rain, two, news, world, angel, seen, times, got, devil, thousand, takes, may, aisles, shouting, hard, kind, howling, road, i've, lights, city, sure, leads, lose, back, still, brings, try, shining, blues, home, man, lead, moon, around, i'll, thing, damn, way, one, might, get, there's, yeah, time, i'm, oh;0.201, 0.159, 0.129, 0.12, 0.106, 0.06, 0.05, 0.042, 0.04, 0.04, 0.04, 0.038, 0.032, 0.031, 0.03, 0.027, 0.026, 0.026, 0.025, 0.025, 0.024, 0.024, 0.023, 0.023, 0.022, 0.021, 0.02, 0.02, 0.02, 0.02, 0.018, 0.018, 0.018, 0.017, 0.017, 0.017, 0.017, 0.016, 0.016, 0.015, 0.015, 0.014, 0.014, 0.013, 0.013, 0.013, 0.012, 0.011, 0.011, 0.01, 0.01, 0.008, 0.007, 0.007, 0.007, 0.006, 0.006, 0.005, 0.005, 0.005, 0.005, 0.004, 0.003
See the Moon (featuring Lamar Williams Jr. and Sharisse Norman);North Mississippi Allstars, Lamar Williams Jr., Sharisse Norman;Blues;shining, moon, trees, washing, music, sister, shocked, feel, pouring, people, brother, see, electricity, jumpy, distortion, chimes, tower, chemistry, crush, funky, bell, drum, fence, groove, relax, freedom, climb, let's, mercy, show, end, bang, dear, raise, jump, news, loud, ring, queen, kick, step, we've, sound, hot, party, hands, lights, touch, getting, together, forget, sky, fire, love, everything, world, get, got, need, baby, let, come, know, like, i'm;0.212, 0.189, 0.182, 0.092, 0.063, 0.047, 0.046, 0.035, 0.032, 0.028, 0.026, 0.025, 0.023, 0.023, 0.023, 0.022, 0.022, 0.021, 0.019, 0.019, 0.018, 0.018, 0.017, 0.017, 0.017, 0.016, 0.016, 0.016, 0.016, 0.015, 0.015, 0.015, 0.015, 0.014, 0.014, 0.014, 0.013, 0.013, 0.013, 0.013, 0.012, 0.012, 0.011, 0.011, 0.011, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.009, 0.009, 0.009, 0.007, 0.007, 0.006, 0.005, 0.005, 0.004, 0.004, 0.004, 0.002, 0.002, 0.001
Set Sail part I (featuring Lamar Williams Jr.);North Mississippi Allstars, Lamar Williams Jr.;Blues;rise, may, water, shall, sail, set, prevail, working, mothers, forefathers, yes, astray, persuaded, led, moonlight, wheel, move, job, heat, workin, giving, fighting, till, yet, musical, fellowship, cool, forget, sailor, together, fight, eternity, sails, progress, ah, sun, sacrifice, ship, horizon, lose, price, done, ghost, keeping, deal, sea, sight, within, meet, still, keep, pay, dark, way, end, light, never, day;0.269, 0.258, 0.207, 0.136, 0.1, 0.062, 0.057, 0.054, 0.042, 0.042, 0.04, 0.038, 0.036, 0.031, 0.03, 0.029, 0.028, 0.026, 0.026, 0.025, 0.025, 0.024, 0.023, 0.022, 0.021, 0.021, 0.02, 0.019, 0.019, 0.018, 0.018, 0.018, 0.018, 0.018, 0.017, 0.016, 0.016, 0.016, 0.016, 0.016, 0.015, 0.014, 0.014, 0.014, 0.013, 0.013, 0.013, 0.012, 0.011, 0.01, 0.01, 0.01, 0.009, 0.008, 0.007, 0.007, 0.006, 0.005
Oh Betty;Fantastic Negrito;Blues;betty, songs, sweet, singin, hear, oh, matters, thing, years, passing, relieving, sweetly, grieving, keep, dream, believing, feeds, passin, staring, evening, breathing, bleeding, dreaming, seven, laugh, window, clean, talking, keeps, said, still, wonder, tears, together, free, cry, late, we'll, please, pain, days, believe, body, ever, day, come, need, feel, i'm, ain't, one, yeah, cause;0.221, 0.145, 0.134, 0.102, 0.097, 0.046, 0.045, 0.041, 0.041, 0.039, 0.029, 0.028, 0.028, 0.027, 0.027, 0.025, 0.023, 0.023, 0.021, 0.021, 0.02, 0.02, 0.019, 0.018, 0.017, 0.017, 0.016, 0.016, 0.016, 0.015, 0.014, 0.014, 0.014, 0.013, 0.012, 0.012, 0.012, 0.012, 0.011, 0.011, 0.011, 0.01, 0.01, 0.009, 0.007, 0.006, 0.006, 0.006, 0.005, 0.005, 0.005, 0.004, 0.004
Magnolia Blues;Adia Victoria;Blues;magnolia, plant, air, gonna, carolina, tonight, something, south, dirt, led, work, going, conductor, blinds, naught, ride, ooh, sir, followed, let, beneath, mood, i'm, dime, north, back, asked, home, train, lead, girl, may, needed, land, feet, gave, kind, tried, far, blue, cold, mine, live, nothing, ain't, alone, show, light, world, said, shit, baby, never, got;0.493, 0.137, 0.083, 0.068, 0.062, 0.061, 0.056, 0.051, 0.045, 0.04, 0.034, 0.032, 0.027, 0.025, 0.025, 0.023, 0.022, 0.022, 0.022, 0.02, 0.019, 0.019, 0.018, 0.018, 0.018, 0.017, 0.017, 0.017, 0.016, 0.016, 0.014, 0.014, 0.014, 0.014, 0.012, 0.012, 0.012, 0.012, 0.012, 0.012, 0.011, 0.01, 0.01, 0.009, 0.009, 0.009, 0.009, 0.009, 0.008, 0.007, 0.007, 0.005, 0.004, 0.003
Natural Blues;Zucchero, Mahmood;Blues;troubles, lordy, nobody, god, hard, oh, went, lord, know, stayed, hill, looked, brother, day, happy, dead, bed, room, soul, long, stay, got;0.631, 0.257, 0.169, 0.131, 0.11, 0.052, 0.045, 0.038, 0.036, 0.035, 0.035, 0.032, 0.03, 0.026, 0.026, 0.023, 0.022, 0.022, 0.02, 0.015, 0.015, 0.006
