Title;Artist;Genre;Track URL;Lyrics;Language;Language Score
Blacksnake Blues;All Them Witches;Blues;https://open.spotify.com/track/6FttMYQiHyM0lVZafG3eXO;"He's a mean black snake
Suckin' on my writer's tongue
There's a mean, mean black snake
Oh, sucking on my writer's tongue
Hey, hey
You know if I go and catch him down
I guarantee he won't be comin' back no more
Oh, it crawled up in my window
Oh, and he crawled up in my bed
Oh, he crawled up in my window
Woah, and he crawled up into my bed
Well he's a mean, mean, mean black snake
I sure gon' kill him dead
You worry me all through the day
Worry me all night long
You worry me all through the day
Worry me all night long
But I can bet you my bottom dollar
Won't be suckin' my writer's tongue no more
Mean, mean, mean black snake
Suckin' my writer's tongue
Woah there's a mean, mean black snake
Suckin' my writer's tongue
Oh, if I catch him down
He won't be suckin' my writer's tongue no more
Mix me up some toad frog hip
Old John the Conqueror's done no good
Mix me up some toad frog hip
Old John the Conqueror's done no good
Gonna put grave dirt on his doorstep
And I'll be rid of him for good";en;0.9999973960745692
The Medicine Man [Feat. Old Crow Medicine Show];Keb' Mo', Old Crow Medicine Show;Blues;https://open.spotify.com/track/0e0PhBW5VPfAn62bbupqy9;"Well, it looks to me like, the end is comin'
My feet really hurt, and my nose is runnin'
Friends and neighbors are dropping like flies
You better cover your face, sanitize
Everybody's doin' the best that they can
We're all just waitin' on the Medicine Man
The Medicine Man
Well, you better lock your doors, turn on the news
The whole damn world is singin' the blues
The President lost, but he don't wanna go
Mothеr Earth, she needs a little help you know
Evеrybody's doin' the best that they can
We’re all just waitin' on the Medicine Man
The Medicine Man
We gonna give everybody their little dose
But we got to give it to the people who need it the most
I can't tell you what the future holds
It might turn to crap, it might turn to gold
Maybe the bees might teach the pigs to fly
But I'm just gonna love everybody 'til the day I die
Everybody's doin' the best that they can
We're all just waitin' on the Medicine Man
We're all just waitin' on the Medicine Man";en;0.9999970357036992
Come on and Go with Me;The Black Keys;Blues;https://open.spotify.com/track/7M9Bru9dH3gHSmx6c7bo7j;"Come on, come on, baby
Come on, go with me
I need lovin'
I need love so bad
Lowdown cryin'
Come on, come on, baby
Come on and go with me
I need lovin'
I need love so bad
It's a lowdown cryin' shame
Come on, come on, babe
Come on, go with me
I'll be good to you, baby
You'll be good to me
We're good together
Oh, yes, we're good
Come on, come on, baby
Come on and go with me
I ain't lonesome
I ain't lonesome in my heart
Ain't got nobody to call my own
Come on, come on, babe
Come on and go with me
[Instrumental Outro]";en;0.999998716913702
I Like It When It's Stormy;Hank Williams Jr.;Blues;https://open.spotify.com/track/0RGaAfyeo6VspXL6eK3l4l;"Cold heart moved in
And the rain came down
That's the way the weather's been
Since she come around
No the sun don't shine
'Round here much anytime
Old cabin fever
Make you lose your mind
Cause she's gone out again
With her fair weather friends
This thing is turning to pain
This storm will put out the flame
I like it when it's stormy
Cause it reminds me of my life
When lightning strikes without warning
Like it has in my world once or twice
I hear the thunder rolling
Feel the icy, cold, hail storms
I like it when it's stormy
But i don't like being alone
I like it when it's stormy
Blowing a hard rain
Looking out my window
Wishing you was coming back again
Oh the things that we do
On a day like this
I'm gonna find me somebody new
That likes to hear the thunder
Feel the icy, cold, hail storms
I like it when it's stormy
But i don't like being alone";en;0.9999976252466184
In The Night Time;The Cold Stares;Blues;https://open.spotify.com/track/2iYYrWUWbIeRDFhywfvKLr;"In the night time
There's a rhythm now
In the night time
There's a rhythm now
See the people walking down the street
Hear the shuffling of their feet
Turn on the music when the sun goes down
Clock strikes midnight, you can hear the sound
In the night time
There's a rhythm now
In the night time
There's a rhythm now
See the heartbeat in the traffic lights
Pulse of the city in the dead of night
Put on your good shoes and grab your girl
Moon comes out, It's a different world
In thе night time
There's a rhythm now
In thе night time
There's a rhythm now
God made the sun and the heat of the day
For man to work, and earn his pay
God made the night with a big drum beat
Snapping his fingers and tapping his feet
In the night time
There's a rhythm now
In the night time
There's a rhythm now";en;0.9999986146216492
Groaning the Blues - Live at the Fillmore, San Francisco, 1994;Eric Clapton;Blues;https://open.spotify.com/track/0cczXxFrHRdrAOymBxEmmF;"I'm so tired of moaning
Trying to groan away my blues
I'm so tired of moaning
Trying to groan away my blues
I keep weeping and crying
Every time I think of you
I would rather die of starvation
Perish out in the desert sun
I would rather die of starvation
Perish out in the desert sun
Than to think of some other man
Holding you in his arms
My heart gets so heavy
Lord, I shake down in my bones
My heart gets so heavy
Lord, I shake down in my bones
I can't hurt a murderer
Oh Lord, but I'm forced to weep and moan";en;0.9999978973504646
Someday;Alabama Shakes;Blues;https://open.spotify.com/track/5MS6qXLKnY68DMlliiwfTX;"Someday
Has come today
Everything I believe
It really happenin'
I'd like a friend
I come from a place where
Everything I can dream
Angels, make-believe
Yeah, right, this can't be real life
This can't be real life
Oo, oo-wah-oo
(Oo-wah-oo)
In a fantasy
I used to be
Wastin' all that time
Relatively blind
I used to sink into the nothing
""Well look at all this""
I got to reply
Yeah right, this can't be real life
This can't be rеal life
You, oo-wah-oo
(Oo-wah-oo)
Yeah right, this can't be rеal life, oh no
Oh shit, this can't be it
This can't be real life";en;0.999998473499336
Notches;Joe Bonamassa;Blues;https://open.spotify.com/track/37OvIUoTAlKsuO3nTGSLSf;"I've been all the way around the world, there and back a time or two
I've been all the way around the world, there and back a time or two
That road leads me home, brings me back to the blues
I got miles under my wheels, notches in my walking cane
Miles under my wheels, notches in my walking cane
Still winking at hard times, smiling at the pouring rain
I've seen a thousand city lights, from Austin to Saskatoon
Seen a thousand city lights, from Austin to Saskatoon
I've seen the shouting from the aisles, howling at the shining moon
I got miles under my wheels, notches in my walking cane
I got miles under my wheels, notches in my walking cane
I'm thе kind of man that takes a lump or two
Tilt your world back, now you have a clue
Try to gеt one over, I got news for you
When you poke the bear, you're bound to lose
I got miles under my wheels, notches in my walking cane
Got some miles under my wheels, notches in my walking cane
I'm still winking at hard times, smiling at the pouring rain
Oh, I may be no angel, I'll sure be the devil for you
May be no angel, I'll sure be the devil for you
Yeah, that road might not lead me home, yeah, there's not a damn thing you can do
I got miles under my wheels, notches in my walking cane
I got miles under my wheels, notches in my walking cane
I'm the kind of man that takes a lump or two
Tilt your world back, now you have a clue
Try to get one over, I got news for you
When you poke the bear, you're bound to lose
I got miles under my wheels, notches in my walking cane
Miles under my wheels, notches in my walking cane
I'm still winking at hard times, smiling at the pouring rain";en;0.9999986296364708
See the Moon (featuring Lamar Williams Jr. and Sharisse Norman);North Mississippi Allstars, Lamar Williams Jr., Sharisse Norman;Blues;https://open.spotify.com/track/6XYkGbWTkF3IUThub6DVfh;"People, people, people
Forget about the news
Relax and come together
It's what we all need to do
I see the moon (I see the moon)
Shining through the trees (Shining through the trees)
Can you feel the love pouring out of me? (Pouring out of me)
My dear brother, brother
Let's get the groove on
Kick in the distortion
Bang on the drum
I see the moon (I see the moon)
Shining through the trees (Shining through the trees)
Have mercy on me, it's the end of the end of thе world party
Sister, sister, sister
You'rе my queen, my everything
Let's jump the fence and climb the bell tower
Let the chimes of freedom ring
Show me the moon (Show me the moon)
Shining through the trees (Shining through the trees)
I feel your love (I feel your love)
Shining all over me (Shining over me)
I like my music loud and jumpy
With that funky electricity
I'm getting shocked, baby, you shocked me
We got the chemistry
We know it's hot, but we've got to touch it
Step into the lights and crush it
I feel the fire
I see the sound
Raise my hands to the sky
Get down
Under the moon (Under the moon)
Shining through the trees (Shining through the trees)
I feel the music (I feel the music)
Washing over me (Washing over me)
I see the moon (I see the moon)
Shining through the trees (Shining through the trees)
I feel the music (I feel the music)
Washing over me (Washing over me)
Under the moon (Under the moon)
Under the moon (Under the moon)
Under the moon (Under the moon)
Shining through the trees (Shining through the trees)";en;0.9999961864306856
Set Sail part I (featuring Lamar Williams Jr.);North Mississippi Allstars, Lamar Williams Jr.;Blues;https://open.spotify.com/track/2lt3INbrnQEZz57tKA05Zy;"The water may rise
The water may rise again but we shall set sail
We may have to move again but we shall prevail
The water may rise again but we shall set sail
The water may rise...
The water may rise...
Forefathers and mothers we never forget
Still fighting the fight, not giving up yet
Be it the cool moonlight or the heat of the sun
We working together till the job is done
Ah yes, we working
Yes, we workin'
The water may rise...
The water may rise...
The water may rise...
The water may rise again but we shall set sail
We may have to move again but we shall prevail
The water may rise again but we shall set sail
The water may rise...
The water may rise...
We will meet in the dark
And fellowship in the light of day
We will keep on keeping on
We won't be persuaded
We won't be led astray
We won't lose our way
We won't be persuaded
We won't be led astray
We won't lose our way
No horizon in sight for the sailor and the sea
The ghost ship of progress sails eternity
Have to pay the price keep our end of the deal
Sacrifice to the musical wheel within a wheel
The water may rise
The water may rise
The water may rise...
The water may rise again but we shall set sail
We may have to move again but we shall prevail
The water may rise again but we shall set sail
The water may rise...
The water may rise...
Forefathers and mothers we never forget
Still fighting the fight, not giving up yet
Be it the cool moonlight or the heat of the sun
We working together till the job is done
Ah yes, we working
Yes, we workin'
The water may rise...
The water may rise...";en;0.9999973655935206
