Title;Artist;Genre;Track URL;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;duration_ms;time_signature
My Lucky Card;Billy F Gibbons;Blues;https://open.spotify.com/track/4Ri5DZQb98Ho6SbRuDvB4b;0.527;0.896;7.0;-4.552;1.0;0.0346;0.00772;0.000245;0.587;0.547;88.064;153760.0;4.0
Lemonades (feat. Cam Kimbrough, Luther Dickinson & Chuck Treece);G. Love & Special Sauce, Cam Kimbrough, Luther Dickinson, Chuck Treece;Blues;https://open.spotify.com/track/72jNvtgMO1NuNFu37h9019;0.61;0.515;5.0;-8.484;0.0;0.225;0.366;0.0;0.139;0.68;187.946;188120.0;4.0
Coal Black Mattie;The Black Keys;Blues;https://open.spotify.com/track/4gtK1dONrcHFlHAupP3h7C;0.445;0.847;5.0;-6.972;0.0;0.0403;0.00888;0.0124;0.176;0.367;92.829;228054.0;4.0
Cheats and Liars;Elles Bailey;Blues;https://open.spotify.com/track/7k0hyVgSg0woUwN1qAuuBf;0.488;0.659;2.0;-6.752;1.0;0.0361;0.011;0.0;0.112;0.204;127.532;228795.0;4.0
Rollin' On;Jackie Venson;Blues;https://open.spotify.com/track/4PrEiwUcs8jMOAk1b5BueL;0.421;0.374;2.0;-9.076;1.0;0.07;0.446;0.000995;0.154;0.366;65.965;308078.0;4.0
Country Boy;Robert Finley;Blues;https://open.spotify.com/track/0uwYQTPWVQjXUKaNgH6oMZ;0.685;0.727;7.0;-7.619;1.0;0.0648;0.0431;0.021;0.102;0.731;143.551;344973.0;4.0
One Scotch, One Bourbon, One Beer;Delbert McClinton;Blues;https://open.spotify.com/track/0TSt9pD3DlyCPjvzhZgTiR;0.897;0.431;7.0;-7.828;1.0;0.0644;0.433;1.35e-05;0.0398;0.559;118.148;192122.0;4.0
You Was Born To Die (feat. Kyshona Armstrong, Margo Price & Jason Isbell);Adia Victoria, Kyshona, Margo Price, Jason Isbell;Blues;https://open.spotify.com/track/4jSCSnMnIXnRbMPM0qLRVX;0.372;0.438;2.0;-9.422;0.0;0.0584;0.517;1.49e-06;0.116;0.475;154.848;181547.0;3.0
You Found Another Lover (I Lost Another Friend) - The Machine Shop Session;Ben Harper, Charlie Musselwhite;Blues;https://open.spotify.com/track/2ElTJmWJbuHT7owpTe3upS;0.462;0.166;11.0;-15.406;0.0;0.0757;0.841;0.000133;0.754;0.318;127.655;261573.0;4.0
Time Clocks;Joe Bonamassa;Blues;https://open.spotify.com/track/7Mft5wZsFV4LrxLhlKzaJ7;0.254;0.708;2.0;-8.158;1.0;0.0425;0.0296;0.0156;0.142;0.164;100.201;427480.0;4.0
Waiting For The Dawn;Walter Trout;Blues;https://open.spotify.com/track/2lCf21uJsB7RsUVDXnq2lN;0.523;0.587;0.0;-5.558;0.0;0.0294;0.763;0.0191;0.0932;0.31;82.821;350520.0;3.0
Bubba Jones;Tony Joe White;Blues;https://open.spotify.com/track/5sLY0cuhTdcKuJi674IWLx;0.406;0.609;0.0;-7.232;1.0;0.0451;0.332;0.000933;0.126;0.528;169.748;266013.0;4.0
Ball and Chain;"Blues Traveler, Christone ""Kingfish"" Ingram";Blues;https://open.spotify.com/track/5JrKfqQFOTwksNVdAUSF4b;0.299;0.654;10.0;-5.954;1.0;0.0465;0.393;0.000436;0.116;0.515;189.533;347360.0;3.0
Questions And Answers;Joe Bonamassa;Blues;https://open.spotify.com/track/2eOsgM5TJlW68D6W8OGnp9;0.727;0.611;9.0;-8.573;0.0;0.0289;0.0765;1.93e-06;0.0693;0.842;99.987;249360.0;4.0
Forest Of My Soul;Moontricks;Blues;https://open.spotify.com/track/32QGqKxHi22ivxrPl4LK3n;0.618;0.385;10.0;-10.024;1.0;0.0401;0.108;0.0;0.298;0.239;145.903;220943.0;4.0
Georgia Women;Hank Williams, Jr.;Blues;https://open.spotify.com/track/3EeyRCjAav0vGn2Pad8UXD;0.334;0.837;2.0;-6.988;1.0;0.0689;0.0438;0.504;0.136;0.415;178.816;245280.0;4.0
For The Last Time;Melissa Etheridge;Blues;https://open.spotify.com/track/1O5Uxz5sky1BtDWA6NW65m;0.583;0.878;2.0;-3.392;1.0;0.0348;0.0237;0.0;0.22;0.761;102.807;197217.0;4.0
In My Dreams;Gary Moore;Blues;https://open.spotify.com/track/1ZAqZfll0nQWeiMt3X8cPN;0.369;0.366;9.0;-8.702;0.0;0.0271;0.127;0.000136;0.354;0.173;79.861;342080.0;3.0
How Blue Can You Get;Gary Moore;Blues;https://open.spotify.com/track/6NOg6TwIX34VkhpTN0zYjv;0.629;0.25;5.0;-9.817;1.0;0.0336;0.499;0.0247;0.102;0.314;147.444;436213.0;3.0
Love on the Rocks;Lauren Anderson;Blues;https://open.spotify.com/track/6paMAWG7CCn967OkrIILty;0.703;0.463;7.0;-7.067;0.0;0.0366;0.244;5.8e-06;0.112;0.217;103.707;222827.0;3.0
Highest Bidder;Fantastic Negrito;Blues;https://open.spotify.com/track/4KVoRiVzZ4Lh6ZWoHWn8k7;0.47;0.701;11.0;-7.692;0.0;0.0738;0.225;0.000673;0.31;0.687;126.636;214055.0;4.0
Make Me Feel Alright;Robert Finley;Blues;https://open.spotify.com/track/6m8QC3Gs7MAQJDQdFGjdme;0.53;0.751;11.0;-5.279;0.0;0.0291;0.144;0.0017;0.0874;0.905;124.204;223707.0;4.0
Sad Days, Lonely Nights;The Black Keys;Blues;https://open.spotify.com/track/7LU7o0tBSWu9Rj5MtvOssY;0.381;0.68;0.0;-7.862;1.0;0.0643;0.117;0.558;0.845;0.29;177.735;357014.0;4.0
Angel In The Alleyways;Dion, Patti Scialfa, Bruce Springsteen;Blues;https://open.spotify.com/track/45tyaHe38YrT22SYxvkPGk;0.618;0.674;11.0;-5.802;0.0;0.0251;0.524;0.0;0.148;0.74;96.967;260093.0;4.0
Long Black Electric Cadillac;John Hiatt, Jerry Douglas;Blues;https://open.spotify.com/track/77iW0ZOavE4PDj9s7DsKqV;0.493;0.642;4.0;-8.936;1.0;0.0457;0.285;0.0112;0.0909;0.884;165.657;205115.0;4.0
Hooray Hooray;Taj Mahal, Ry Cooder;Blues;https://open.spotify.com/track/5kNEJJmeAV6e97ScR40e0q;0.518;0.596;7.0;-9.053;1.0;0.0304;0.556;0.000121;0.361;0.768;136.828;259947.0;4.0
It Hurts Me Too - Live at the Fillmore, San Francisco, 1994;Eric Clapton;Blues;https://open.spotify.com/track/7Lt4y9d6vSrnkGpcNWyUv3;0.311;0.847;6.0;-6.964;1.0;0.0618;0.163;0.0;0.885;0.584;108.741;197973.0;4.0
Summertime - Live;Joanne Shaw Taylor, Joe Bonamassa;Blues;https://open.spotify.com/track/2kBpoD0of0GlqHcnlqp5JE;0.25;0.579;4.0;-7.146;0.0;0.0341;0.594;0.00122;0.711;0.16;176.535;349574.0;3.0
